#UserGroup,user,groupName,,userName,DirectoryService
UserGroup,,结构组,,60010803,
UserGroup,,结构组,,60008800,
UserGroup,,结构组,,60009350,
UserGroup,,结构组,,60000400,
UserGroup,,结构组,,60000443,
UserGroup,,结构组,,60004945,
UserGroup,,结构组,,60009674,
UserGroup,,结构组,,60009353,
UserGroup,,结构组,,60000438,
UserGroup,,结构组,,60012408,
UserGroup,,结构组,,60000197,
UserGroup,,结构组,,60004707,
UserGroup,,结构组,,60012275,
UserGroup,,结构组,,60001081,
UserGroup,,结构组,,60000412,
UserGroup,,结构组,,60006212,
UserGroup,,结构组,,60010445,
UserGroup,,结构组,,60011770,
UserGroup,,结构组,,60009033,
UserGroup,,结构组,,60006507,
UserGroup,,结构组,,60004889,
UserGroup,,结构组,,60007267,
UserGroup,,结构组,,60011601,
UserGroup,,结构组,,60000173,
UserGroup,,结构组,,60006880,
UserGroup,,结构组,,60009349,
UserGroup,,结构组,,60009678,
UserGroup,,结构组,,60009345,
UserGroup,,结构组,,60008795,
UserGroup,,结构组,,60011126,
UserGroup,,结构组,,60011308,
UserGroup,,结构组,,60000407,
UserGroup,,结构组,,60009683,
UserGroup,,结构组,,60001653,
UserGroup,,结构组,,60008809,
UserGroup,,结构组,,60011660,
UserGroup,,结构组,,60012148,
UserGroup,,结构组,,60000044,
UserGroup,,结构组,,60003148,
UserGroup,,结构组,,60002708,
UserGroup,,结构组,,60002706,
UserGroup,,结构组,,60010141,
UserGroup,,结构组,,60010117,
UserGroup,,结构组,,60010124,
UserGroup,,结构组,,60010113,
UserGroup,,结构组,,60010134,
UserGroup,,结构组,,60008319,
UserGroup,,结构组,,60008013,
UserGroup,,结构组,,60008797,
UserGroup,,结构组,,60008804,
UserGroup,,结构组,,60008811,
UserGroup,,结构组,,60009631,
UserGroup,,结构组,,60009647,
UserGroup,,结构组,,60008789,
UserGroup,,结构组,,60010431,
UserGroup,,结构组,,60002709,
UserGroup,,结构组,,60009658,
UserGroup,,热管理仿真组,,60000048,
UserGroup,,热管理仿真组,,60000237,
UserGroup,,热管理仿真组,,60004885,
UserGroup,,热管理仿真组,,60011763,
UserGroup,,热管理仿真组,,60002559,
UserGroup,,热管理仿真组,,60010487,
UserGroup,,热管理仿真组,,60000103,
UserGroup,,热管理仿真组,,60008318,
UserGroup,,热管理仿真组,,60009525,
UserGroup,,热管理仿真组,,60006230,
UserGroup,,热管理仿真组,,60001039,
UserGroup,,热管理仿真组,,60002705,
UserGroup,,热管理仿真组,,60000153,
UserGroup,,热管理仿真组,,60008009,
UserGroup,,热管理仿真组,,60000360,
UserGroup,,热管理仿真组,,60007823,
UserGroup,,热管理仿真组,,60000232,
UserGroup,,热管理仿真组,,60000415,
UserGroup,,热管理仿真组,,60000470,
UserGroup,,热管理仿真组,,60006006,
UserGroup,,热管理仿真组,,60011662,
UserGroup,,热管理仿真组,,60012149,
UserGroup,,热管理仿真组,,60000089,
UserGroup,,热管理仿真组,,60000050,
UserGroup,,热管理仿真组,,60000181,
UserGroup,,热管理仿真组,,60009028,
UserGroup,,热管理仿真组,,60000042,
UserGroup,,热管理仿真组,,60000227,
UserGroup,,热管理仿真组,,60008817,
UserGroup,,热管理仿真组,,60005307,
UserGroup,,热管理仿真组,,60011148,
UserGroup,,热管理仿真组,,60008592,
UserGroup,,热管理仿真组,,60001904,
UserGroup,,热管理仿真组,,60002857,
UserGroup,,热管理仿真组,,60010505,
UserGroup,,热管理仿真组,,60010722,
UserGroup,,热管理仿真组,,60008807,
UserGroup,,热管理仿真组,,60009661,
UserGroup,,热管理仿真组,,60011143,
UserGroup,,热管理仿真组,,60011546,
UserGroup,,热管理仿真组,,60003035,
UserGroup,,热管理仿真组,,60000148,
UserGroup,,热管理仿真组,,60000224,
UserGroup,,热管理仿真组,,60000329,
UserGroup,,热管理仿真组,,60000416,
UserGroup,,热管理仿真组,,60000432,
UserGroup,,热管理仿真组,,60000434,
UserGroup,,热管理仿真组,,60002152,
UserGroup,,热管理仿真组,,60002653,
UserGroup,,热管理仿真组,,60006005,
UserGroup,,热管理仿真组,,60006514,
UserGroup,,热管理仿真组,,60007197,
UserGroup,,热管理仿真组,,60009020,
UserGroup,,热管理仿真组,,60009664,
UserGroup,,热管理仿真组,,60009663,
UserGroup,,热管理仿真组,,60009662,
UserGroup,,热管理仿真组,,60010080,
UserGroup,,热管理仿真组,,60012415,
UserGroup,,热管理仿真组,,60012493,
UserGroup,,热管理仿真组,,60000043,
UserGroup,,热管理仿真组,,60000433,
UserGroup,,热管理仿真组,,60011314,
UserGroup,,热管理仿真组,,60006229,
UserGroup,,热管理仿真组,,60008597,
UserGroup,,热管理仿真组,,60008786,
UserGroup,,热管理仿真组,,60012360,
UserGroup,,热管理仿真组,,60000866,
UserGroup,,热管理仿真组,,60009652,
UserGroup,,热管理仿真组,,60008012,
UserGroup,,热管理仿真组,,60011147,
UserGroup,,热管理仿真组,,60000176,
UserGroup,,热管理仿真组,,60010109,
UserGroup,,热管理仿真组,,60010140,
UserGroup,,热管理仿真组,,60010143,
UserGroup,,热管理仿真组,,60009659,
UserGroup,,热管理仿真组,,60002702,
UserGroup,,热管理仿真组,,60007567,
UserGroup,,热管理仿真组,,60010111,
UserGroup,,热管理仿真组,,60006510,
UserGroup,,热管理仿真组,,60008810,
UserGroup,,热管理仿真组,,60009633,
UserGroup,,热管理仿真组,,60008815,
UserGroup,,热管理仿真组,,60009638,
UserGroup,,热管理仿真组,,60010158,
UserGroup,,热管理仿真组,,60008819,
UserGroup,,热管理仿真组,,60008814,
UserGroup,,热管理仿真组,,60008593,
UserGroup,,热管理仿真组,,60010125,
UserGroup,,热管理仿真组,,60010116,
UserGroup,,热管理仿真组,,60010114,
UserGroup,,热管理仿真组,,60006225,
UserGroup,,热管理仿真组,,60001278,
UserGroup,,热管理仿真组,,60003153,
UserGroup,,热管理仿真组,,60007786,
UserGroup,,热管理仿真组,,60010142,
UserGroup,,热管理仿真组,,60008165,
UserGroup,,热管理仿真组,,60009657,
UserGroup,,热管理仿真组,,60008808,
UserGroup,,热管理仿真组,,60011547,
UserGroup,,热管理仿真组,,60008813,
UserGroup,,热管理仿真组,,60000336,
UserGroup,,热管理仿真组,,60000359,
UserGroup,,热管理仿真组,,60007825,
UserGroup,,热管理仿真组,,60010315,
UserGroup,,热管理仿真组,,60000535,
UserGroup,,热管理仿真组,,60000843,
UserGroup,,热管理仿真组,,60004942,
UserGroup,,热管理仿真组,,60009518,
UserGroup,,热管理仿真组,,60007824,
UserGroup,,热管理仿真组,,60000467,
UserGroup,,热管理仿真组,,60006297,
UserGroup,,热管理仿真组,,60010430,
UserGroup,,热管理仿真组,,60010504,
UserGroup,,热管理仿真组,,60010715,
UserGroup,,热管理仿真组,,60010299,
UserGroup,,热管理仿真组,,60010999,
UserGroup,,热管理仿真组,,60000888,
UserGroup,,热管理仿真组,,60002517,
UserGroup,,热管理仿真组,,60011313,
UserGroup,,热管理仿真组,,60011311,
UserGroup,,热管理仿真组,,60001072,
UserGroup,,热管理仿真组,,60000876,
UserGroup,,热管理仿真组,,60006683,
UserGroup,,热管理仿真组,,60012422,
UserGroup,,热管理仿真组,,60010441,
UserGroup,,热管理仿真组,,60011666,
UserGroup,,热管理仿真组,,60011001,
UserGroup,,热管理仿真组,,60010289,
UserGroup,,热管理仿真组,,60000108,
UserGroup,,热管理仿真组,,60010062,
UserGroup,,热管理仿真组,,60012284,
UserGroup,,热管理仿真组,,60010119,
UserGroup,,热管理仿真组,,60012725,
UserGroup,,热管理仿真组,,60012781,
UserGroup,,热管理仿真组,,60011663,
UserGroup,,热管理仿真组,,60007785,
UserGroup,,热管理仿真组,,60000122,
UserGroup,,热管理仿真组,,60000282,
UserGroup,,热管理仿真组,,60000125,
UserGroup,,热管理仿真组,,60000518,
UserGroup,,热管理仿真组,,60000409,
UserGroup,,热管理仿真组,,60000091,
UserGroup,,热管理仿真组,,60002031,
UserGroup,,热管理仿真组,,60009685,
