#AddPrincipalToRole,containerClass,containerName,role,principalNameOrDN,serviceName,useSharedTeam
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,线束组浏览者,线束组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,制造组浏览者,制造组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,质量组浏览者,质量组,,
,,,,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,项目经理,60001942,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,项目助理,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,市场代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,销售代表,60008913,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,质量代表,60009833,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,产品质量工程师,60009833,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,产品安全工程师,60001140,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,可靠性工程师,60001140,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,供应商质量管理工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,PMO,60001351,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,开发代表,60007728,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,系统工程师,60007728,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,EE系统工程师,60009457,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,软件工程师,60000361,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,软件工程师,60008805,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,硬件工程师,60000400,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,硬件工程师,60000412,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,元器件工程师,60000410,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,线束工程师,60007824,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,结构工程师,60002152,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,结构工程师,60002586,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,认证工程师,60000394,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,XDL,热管理&仿真工程师,60000176,,
